Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 01/01  01:00:00,7.0125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.079204334789026,12.216775537870517,-82.68535360602503,-79.72225739579709 
 01/01  02:00:00,7.2,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96990037334699,12.048714082422002,-28.432866247703744,-39.01021850878371 
 01/01  03:00:00,6.8875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.858740270035949,11.963072267538069,-50.53451300296005,-43.341078915429857 
 01/01  04:00:00,6.324999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.63430489368934,11.775806917970498,-87.77422279338907,-83.3352612719684 
 01/01  05:00:00,5.0375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4147677199072,11.54460426250421,-76.43626029226096,-79.92534355878641 
 01/01  06:00:00,4.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.212475685267716,11.34348112174862,-74.90340322547815,-74.57636188317905 
 01/01  07:00:00,5.4624999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.027712128809597,11.151902959802023,-67.28916245096549,-68.42492820322674 
 01/01  08:00:00,5.4125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.185187950448569,11.084493990799045,95.9762056159854,49.36834762965394 
 01/01  09:00:00,6.750000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29099784925519,11.769344051627117,491.5128324260579,410.3704608926688 
 01/01  10:00:00,8.487499999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.147242905455269,12.631568578698932,605.6287653340968,502.6899581494715 
 01/01  11:00:00,9.2125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.625838002864477,13.54910090579073,246.1510931922894,293.8098898855513 
 01/01  12:00:00,9.775,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.822554207275692,13.888806035224106,63.58937738579499,66.37714418617613 
 01/01  13:00:00,10.375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.058824036268627,14.068758352299245,92.62546667102143,82.27952773385265 
 01/01  14:00:00,10.9125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.600393936137828,14.49597105462881,217.77887216762196,203.92994621759909 
 01/01  15:00:00,12.85,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.097904296958273,15.105655785861324,180.57899162362788,201.02047784635497 
 01/01  16:00:00,13.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76776138263461,15.169086902307067,-177.79790290230415,-121.01140708997875 
 01/01  17:00:00,12.15,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.794283794410554,14.28835576007046,-365.93546515673986,-378.48457854171246 
 01/01  18:00:00,11.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38290942210679,13.575277409617592,-156.19826791744195,-178.37472227966115 
 01/01  19:00:00,10.7875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.164045491725794,13.283331264032843,-77.95639172391505,-82.31633608782727 
 01/01  20:00:00,10.6,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.044644488979527,13.125516029166765,-39.72985027673238,-44.30513528932377 
 01/01  21:00:00,9.5375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.872604686617544,12.992292624539309,-70.46530341082475,-63.172562273133319 
 01/01  22:00:00,9.2125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.715306854022247,12.810475447549689,-50.76647260178489,-57.19230953601748 
