Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/07  07:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.822422369787956 
 01/07  08:00:00,8.441666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.820880033074677 
 01/07  09:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.84480673940476 
 01/07  10:00:00,9.541666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.875555015669148 
 01/07  11:00:00,8.716666666666665,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.854966512918947 
 01/07  12:00:00,7.799999999999998,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.781404081514944 
 01/07  13:00:00,8.441666666666667,21.0,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,16.80358970953746 
 01/07  14:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.86843331075716 
 01/07  15:00:00,9.541666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.95843790723447 
 01/07  16:00:00,9.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.02508448562504 
 01/07  17:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.01074643276959 
 01/07  18:00:00,8.549999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.944431335757505 
 01/07  19:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.877088205780454 
 01/07  20:00:00,7.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.818168354424718 
 01/07  21:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.760920313361877 
 01/07  22:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.721376869481735 
 01/07  23:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.68009263744868 
 01/07  24:00:00,5.808333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.618308189778828 
 01/08  01:00:00,5.6000000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.571344690938543 
 01/08  02:00:00,5.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.52295477992342 
 01/08  03:00:00,5.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.471331360360478 
 01/08  04:00:00,5.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.439902555898116 
 01/08  05:00:00,4.650000000000001,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.39219910621933 
 01/08  06:00:00,4.3999999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.340642737542387 
 01/08  07:00:00,4.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.29327627132945 
 01/08  08:00:00,3.899999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.2442495812225 
 01/08  09:00:00,3.9583333333333337,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.22996470811263 
 01/08  10:00:00,6.216666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.37707797733486 
 01/08  11:00:00,8.5,21.0,21.0,21.00930929459676,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.62688732205113 
 01/08  12:00:00,9.583333333333334,21.0,21.0,21.49483364514524,21.0,21.0,21.0,21.0,21.151516949282205,21.0,21.0,16.812810241566657 
 01/08  13:00:00,11.75,21.0,21.0,22.251552298787958,21.0,21.0,21.0,21.0,21.8102472917389,21.088153995883418,21.0,17.072316635263705 
