Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/04  05:00:00,5.108333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.173201771472934 
 01/04  06:00:00,5.391666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.10678922420428 
 01/04  07:00:00,5.458333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.079704609193216 
 01/04  08:00:00,5.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.050579209111118 
 01/04  09:00:00,7.633333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.128933486386804 
 01/04  10:00:00,8.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.204276983501896 
 01/04  11:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.22947877994669 
 01/04  12:00:00,9.541666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.2697905943164 
 01/04  13:00:00,10.350000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.340138469024628 
 01/04  14:00:00,10.600000000000002,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,21.0,17.383185478525097 
 01/04  15:00:00,10.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.39766860154064 
 01/04  16:00:00,10.350000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.425393113471459 
 01/04  17:00:00,10.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.448515016154578 
 01/04  18:00:00,10.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,17.423426826347993 
 01/04  19:00:00,9.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.399189019959267 
 01/04  20:00:00,9.4,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.37181421860485 
 01/04  21:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.345035429559226 
 01/04  22:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.309914721964664 
 01/04  23:00:00,7.908333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.232901954686857 
 01/04  24:00:00,7.841666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.175113646840989 
 01/05  01:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.166235503257018 
 01/05  02:00:00,7.799999999999998,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.121237185273185 
 01/05  03:00:00,6.166666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.002296145511207 
 01/05  04:00:00,4.3583333333333329,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.828038951549 
 01/05  05:00:00,4.191666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.75019885342827 
 01/05  06:00:00,4.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.70316008557722 
 01/05  07:00:00,5.183333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.710678679220086 
 01/05  08:00:00,6.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.771247995811455 
 01/05  09:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.79529527108633 
 01/05  10:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.81901978220545 
 01/05  11:00:00,7.841666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.863293303577796 
 01/05  12:00:00,8.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.93567623759502 
 01/05  13:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.98409040048591 
 01/05  14:00:00,10.1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.05941989448718 
 01/05  15:00:00,10.891666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.175176610577024 
 01/05  16:00:00,10.458333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.239780123464855 
 01/05  17:00:00,10.350000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.276711898688729 
 01/05  18:00:00,9.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.264146095424363 
 01/05  19:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.19797611014744 
 01/05  20:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.173466857209165 
 01/05  21:00:00,8.258333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.13241871727988 
 01/05  22:00:00,8.091666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.09509932679504 
 01/05  23:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.078418491478009 
 01/05  24:00:00,7.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.019913697704398 
 01/06  01:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.96942357207463 
 01/06  02:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.922335947769218 
 01/06  03:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.871904326962498 
 01/06  04:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.838240939562057 
 01/06  05:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.787220536483955 
 01/06  06:00:00,6.1000000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.731618840198157 
 01/06  07:00:00,5.808333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.680474484075888 
 01/06  08:00:00,5.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.60826447185254 
 01/06  09:00:00,5.3500000000000009,20.999984851723175,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.581094658720259 
 01/06  10:00:00,5.891666666666666,21.097815189072077,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.622212890113976 
 01/06  11:00:00,6.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.670870583656734 
 01/06  12:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.69594161164296 
 01/06  13:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.71264202174711 
 01/06  14:00:00,7.55,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,16.762556431069294 
 01/06  15:00:00,8.091666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.83777111537078 
 01/06  16:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.916190725947634 
 01/06  17:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.963460504202819 
